City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Tigre,AR,2022-11-23 03:41:59,-34.426,-58.5796,66.22,63,0,1.14
277,San Patricio,US,2022-11-23 03:42:00,28.017,-97.5169,53.83,87,97,4.76
278,Bengkulu,ID,2022-11-23 03:42:00,-3.8004,102.2655,77.18,86,100,12.55
279,Aksu,CN,2022-11-23 03:42:01,41.1231,80.2644,41.4,22,99,2.21
280,Vao,NC,2022-11-23 03:42:01,-22.6667,167.4833,77.31,71,29,6.13
281,Leningradskiy,RU,2022-11-23 03:42:02,69.3833,178.4167,-11.16,94,100,7.18
282,Miri,MY,2022-11-23 03:42:02,4.4148,114.0089,89.74,66,20,4.61
283,Port Hardy,CA,2022-11-23 03:42:03,50.6996,-127.4199,42.98,100,75,2.3
284,Lorengau,PG,2022-11-23 03:42:03,-2.0226,147.2712,83.53,73,99,8.05
285,Emba,KZ,2022-11-23 03:42:04,48.8264,58.1442,36.28,98,100,13.42
286,Henties Bay,NA,2022-11-23 03:42:04,-22.116,14.2845,60.4,81,0,4.36
287,Iisalmi,FI,2022-11-23 03:42:05,63.5592,27.1907,17.22,91,96,3.96
288,Namatanai,PG,2022-11-23 03:42:05,-3.6667,152.4333,85.46,65,62,10.98
289,Killybegs,IE,2022-11-23 03:42:06,54.6333,-8.45,46.08,87,100,22.93
290,Slyudyanka,RU,2022-11-23 03:42:06,51.6594,103.7061,29.25,58,33,1.34
291,Sorland,NO,2022-11-23 03:42:07,67.667,12.6934,37.26,63,7,22.62
292,Alice Springs,AU,2022-11-23 03:42:08,-23.7,133.8833,60.35,67,100,5.75
